proper_star_name	parsecs_from_earth	light_years_from_earth	constellation_full_name	apparent_magnitude
	220.2643	718.4052303079999	Sculptor	8.28
	195.3125	637.0234375	Cassiopeia	11.67
	163.9344	534.681881664	Andromeda	8.18
	113.6364	370.63193678399995	Pegasus	7.93
	591.716	1929.9172369599999	Cassiopeia	9.21
	39.185	127.8042286	Andromeda	6.09
	337.8378	1101.878254968	Sculptor	8.31
	229.8851	749.784046756	Sculptor	7.83
	564.9718	1842.689424008	Cassiopeia	8.72
	840.3361	2740.806610316	Cassiopeia	6.61
	200.0	652.312	Pegasus	6.25
	26.3922	86.07974383199999	Pegasus	7.82
	355.8719	1160.697554164	Cassiopeia	8.66
	128.3697	418.685478732	Cassiopeia	8.15
	89.4454	291.731538824	Cetus	8.97
	100000.0	326156.0	Cassiopeia	8.15
	71.1238	231.974541128	Andromeda	7.47
	100000.0	326156.0	Pegasus	8.63
	43.29	141.1929324	Tucana	8.13
	223.7136	729.655329216	Cassiopeia	8.23
	112.3596	366.467576976	Tucana	8.41
	168.0672	548.161256832	Pegasus	6.47
	100000.0	326156.0	Andromeda	9.83
	154.321	503.32720076	Cassiopeia	8.64
	51.2558	167.173867048	Sculptor	7.73
	100000.0	326156.0	Tucana	8.64
	102.0408	332.812191648		8.94
	90.2527	294.364596212		8.84
	138.8889	452.994480684		6.32
	221.7295	723.1840680199999	Cassiopeia	5.8
	250.6266	817.4336934959999	Phoenix	8.97
	41.9111	136.695567316	Phoenix	7.53
	312.5	1019.2375	Cepheus	7.41
	253.1646	825.711532776	Pegasus	7.8
	68.7285	224.16212645999997	Tucana	8.14
	138.5042	451.73975855199996	Andromeda	6.71
	510.2041	1664.0612843959998	Phoenix	8.73
	100000.0	326156.0	Pegasus	9.37
	98.7167	321.970440052		8.69
	11.2511	36.696137715999996	Andromeda	9.95
	122.549	399.70091644	Sculptor	7.1
	260.4167	849.3646920519999	Andromeda	8.09
	97.2763	317.272489028	Andromeda	6.88
	100000.0	326156.0		9.48
	387.5969	1264.170545164	Sculptor	9.04
	94.6074	308.56771154399996	Phoenix	9.3
	15.8881	51.819991435999995	Tucana	8.49
	235.2941	767.4258247959999	Andromeda	8.3
	100000.0	326156.0		7.95
	169.4915	552.80669674	Cepheus	7.08
	208.7683	680.910336548	Sculptor	6.93
	191.9386	626.019260216	Cetus	8.38
	39.4945	128.81368142		4.61
	4.3399	14.154844244	Sculptor	8.56
	757.5758	2470.8789262479995	Tucana	8.78
	113.1222	368.954842632	Phoenix	7.42
	334.4482	1090.8228711919999		8.26
	215.5172	702.922278832		7.71
	196.4637	640.7781453719999		6.91
	105.8201	345.13860535599997	Sculptor	9.16
	273.224	891.1364694399999	Pegasus	8.99
	284.9003	929.219422468	Pegasus	8.63
	540.5405	1763.0052731799997	Pegasus	9.9
	282.4859	921.344712004		7.59
	154.0832	502.551601792	Cetus	7.39
	69.1085	225.40151926000001	Cepheus	11.99
	176.3668	575.230900208	Sculptor	7.78
	740.7407	2415.970237492	Phoenix	7.47
	214.5923	699.9056619879999	Cetus	6.97
	51.1771	166.917182276	Tucana	8.82
	45.2284	147.515140304	Pegasus	9.13
	97.0874	316.656380344	Andromeda	7.86
	50.6586	165.226063416	Cetus	7.13
	100000.0	326156.0	Sculptor	9.45
	100000.0	326156.0	Sculptor	12.04
	429.1845	1399.81099782	Cepheus	8.78
	378.7879	1235.4394631239998	Cassiopeia	7.23
	166.3894	542.6890114639999	Phoenix	9.73
	196.0784	639.5214663039999	Tucana	7.36
	309.5975	1009.7708221	Phoenix	7.36
	862.069	2811.68976764	Andromeda	8.47
	440.5286	1436.8104606159998	Tucana	9.37
	247.5248	807.3169866879999	Cassiopeia	6.99
	11.3071	36.878785076	Andromeda	8.2
	163.6661	533.806805116	Andromeda	8.36
	52.6039	171.570776084	Cassiopeia	8.22
	114.2857	372.749667692	Pegasus	5.55
	141.4427	461.323852612	Sculptor	9.91
	598.8024	1953.029955744	Cetus	9.67
	248.139	809.32023684	Cetus	8.6
	100000.0	326156.0	Pegasus	10.07
	145.1379	473.375969124	Sculptor	10.15
	128.041	417.61340395999997	Pegasus	7.75
	236.4066	771.0543102959999	Cepheus	9.21
	100000.0	326156.0	Cetus	9.66
	231.4815	754.99080114	Andromeda	8.47
	199.2032	649.713188992	Phoenix	9.37
	99.108	323.24668848	Cepheus	9.44
	115.6069	377.05884076399997	Tucana	9.99
	69.1563	225.557421828		10.38
	39.3856	128.45849753599998	Phoenix	7.51
	321.5434	1048.733091704	Pegasus	8.91
	37.1333	121.11248594799999	Pegasus	7.45
	133.8688	436.62112332799995	Cetus	9.57
	77.821	253.81786075999997	Tucana	8.99
	37.1471	121.157495476	Pegasus	8.58
	287.3563	937.2298138279998	Pegasus	6.9
	146.6276	478.23471505599997	Cassiopeia	7.55
	239.2344	780.277349664	Andromeda	7.93
	100000.0	326156.0	Phoenix	9.71
	826.4463	2695.5041942279995	Phoenix	9.57
	352.1127	1148.436697812	Sculptor	8.55
	359.7122	1173.222923032	Pegasus	6.62
	492.6108	1606.6796808479999	Pegasus	7.89
	254.4529	829.9134005239999	Pegasus	7.51
	100000.0	326156.0	Cassiopeia	7.36
	100000.0	326156.0	Cassiopeia	8.66
	540.5405	1763.0052731799997		8.51
	248.139	809.32023684	Andromeda	6.65
	79.3021	258.64855727599996	Sculptor	9.67
	86.8056	283.121672736		7.8
	155.521	507.24107275999995		8.21
	212.766	693.94907496	Sculptor	7.9
	746.2687	2434.0001411719995	Cepheus	8.94
	246.9136	805.3235212159999	Cetus	9.82
	157.2327	512.8238850119999		8.69
	100000.0	326156.0	Sculptor	8.57
	173.0104	564.283800224	Phoenix	8.89
	21.4777	70.050807212	Cassiopeia	5.98
	174.8252	570.2028793119999	Tucana	7.92
	666.6667	2174.373442052	Cetus	7.6
	218.8184	713.689340704		8.22
	25.7136	83.86644921599999	Phoenix	5.7
	16.7084	54.495449104	Tucana	12.17
	135.5014	441.9459461839999	Cetus	8.75
	119.1895	388.74370561999996	Andromeda	6.93
	252.5253	823.6264174679999	Cassiopeia	7.97
	287.3563	937.2298138279998	Cepheus	8.06
	232.5581	758.5021966359999	Cetus	10.13
	142.0455	463.28992098	Cetus	7.31
	106.6098	347.714259288	Andromeda	8.35
	265.9574	867.4360175439999	Cassiopeia	5.57
	209.205	682.3346598		9.85
	740.7407	2415.970237492	Cetus	9.16
	826.4463	2695.5041942279995	Phoenix	9.03
	151.9757	495.67786409199994	Phoenix	10.07
	666.6667	2174.373442052	Pegasus	9.76
	210.084	685.20157104	Cetus	9.35
	66.7111	217.582255316		10.95
	133.8688	436.62112332799995	Andromeda	8.87
	162.0746	528.616032376	Pegasus	6.68
	112.3596	366.467576976	Phoenix	9.69
	228.833	746.35255948	Cassiopeia	8.05
	100000.0	326156.0	Sculptor	10.3
	13.6705	44.58715598	Andromeda	6.07
	314.4654	1025.6477700239998	Andromeda	8.51
	212.3142	692.475502152	Sculptor	7.71
	175.4386	572.203520216	Cetus	8.56
	990.099	3229.26729444	Cepheus	8.26
	100000.0	326156.0	Cassiopeia	11.55
	100000.0	326156.0	Cassiopeia	8.62
	189.7533	618.891773148		10.92
	729.927	2380.7007061199997		10.51
	448.4305	1462.5829815799998	Cetus	9.83
	84.674	276.16933144	Cetus	9.84
	170.9402	557.5317187119999		9.74
	110.742	361.19167752		8.21
	208.3333	679.491557948	Pegasus	8.72
	518.1347	1689.9274121319997	Tucana	8.03
	100000.0	326156.0	Andromeda	9.0
	39.3856	128.45849753599998	Cetus	6.19
	228.833	746.35255948	Cepheus	11.79
	236.4066	771.0543102959999	Pegasus	8.22
	262.4672	856.0525208319999	Andromeda	7.93
	662.2517	2159.973654652	Phoenix	10.18
	134.2282	437.79332799199994		8.98
	318.4713	1038.713253228	Cassiopeia	9.13
	363.6364	1186.0219367839998	Sculptor	6.91
	625.0	2038.475	Phoenix	8.79
	54.7945	178.71554941999997		8.23
	34.5423	112.66178398799998	Sculptor	12.19
	113.8952	371.47602851199997	Sculptor	10.24
	369.0037	1203.5277077719998	Andromeda	8.83
	255.102	832.03047912	Phoenix	7.62
	230.9469	753.247171164	Phoenix	8.96
	209.6436	683.7651800159999	Cassiopeia	10.41
	324.6753	1058.9479714679999	Cassiopeia	8.97
	62.1504	202.707258624	Andromeda	9.61
	134.7709	439.563376604	Pegasus	8.29
	100000.0	326156.0		8.3
	267.3797	872.074934332	Cetus	8.26
	115.8749	377.932938844		7.44
	229.8851	749.784046756	Cassiopeia	9.52
	191.9386	626.019260216	Cepheus	8.2
	95.8773	312.709566588	Cetus	8.68
	187.6173	611.925080988	Sculptor	8.65
	143.6782	468.615069992	Cetus	10.52
	183.4862	598.451250472	Sculptor	8.41
	183.4862	598.451250472	Pegasus	9.18
	246.9136	805.3235212159999	Cepheus	8.42
	396.8254	1294.269851624	Andromeda	8.86
	199.6008	651.0099852479999	Andromeda	7.92
	100000.0	326156.0	Cassiopeia	10.97
	188.3239	614.2296992839999		8.85
	210.5263	686.6441590279999	Tucana	9.31
	125.4705	409.22956397999997	Cetus	10.28
	79.8722	260.507972632		7.56
	234.192	763.83125952	Cepheus	7.88
	369.0037	1203.5277077719998	Pegasus	7.99
	59.2066	193.105878296	Phoenix	8.23
	684.9315	2233.94518314	Sculptor	8.52
	63.2511	206.297257716	Pegasus	9.14
	176.0563	574.218185828	Cetus	6.2
	165.8375	540.8889565		7.64
	111.7318	364.419969608		8.95
	529.1005	1725.6930267799999	Phoenix	7.48
	50.2513	163.89763002799998	Sculptor	7.06
	126.1034	411.29380530399993	Pegasus	7.33
	781.25	2548.09375	Cetus	8.98
	136.2398	444.354282088	Cetus	8.24
	141.6431	461.977469236	Phoenix	8.53
	361.0108	1177.458384848		8.4
	142.8571	465.937003076	Phoenix	7.48
	100000.0	326156.0	Pegasus	8.46
	662.2517	2159.973654652	Andromeda	9.29
	182.8154	596.263396024	Pegasus	8.57
	33.0469	107.784447164	Cetus	8.7
	93.2836	304.250058416	Andromeda	8.5
	109.1703	356.06548366799996	Tucana	8.37
	161.8123	527.760525188	Andromeda	6.87
	438.5965	1430.5088005399998	Tucana	7.5
	287.3563	937.2298138279998		7.39
	120.1923	392.014397988	Phoenix	8.19
	591.716	1929.9172369599999	Cassiopeia	7.56
	116.144	378.81062464	Cassiopeia	8.37
	174.216	568.21593696	Andromeda	7.39
	92.3361	301.159730316	Andromeda	6.73
	340.1361	1109.374298316	Tucana	8.66
	223.7136	729.655329216		8.25
	313.4796	1022.4325241759999	Cetus	8.47
